Wall Timer, Oculus Timestamp, Oculus rot QX, Oculus rot QY, Oculus rot QZ, Oculus rot QW, Oculus rot X V, Oculus rot Y V, Oculus rot Z V, Oculus rot X A, Oculus rot Y A, Oculus rot Z A, Oculus pos X, Oculus pos Y, Oculus pos Z, Oculus pos X V, Oculus pos Y V, Oculus pos Z V, Oculus pos X A, Oculus pos Y A, Oculus pos Z A, Vicon Frame Number, Vicon rot QX, Vicon rot QY, Vicon rot QZ, Vicon rot QW, Vicon pos X, Vicon pos Y, Vicon pos Z, Vicon raw rot QX, Vicon raw rot QY, Vicon raw rot QZ, Vicon raw rot QW, Vicon raw Pos X, Vicon raw pos Y, Vicon raw pos Z
3599.848516,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.849466,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8501168,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8510296,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8514751,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8551128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8556367,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8566396,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8571023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8584304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8589005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8619416,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8623604,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8625619,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8635181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.86396,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8650748,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.865533,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8688468,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.869321,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
3599.8704381,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,0,0,0,0.5,-0.5,-0.5,-0.5,0,0,0,Input Is Identity
